expo,table,project,sponsors,link,category,special
1,77,NearbyRoute,[Uber] Best Hack that Acts on the Physical World,https://hacktech2019.devpost.com/submissions/114896-nearbyroute,,
1,2,LoFi Lullaby,"Most Aesthetic/Well-Designed Hack, Best Game/Entertainment Hack",https://hacktech2019.devpost.com/submissions/114897-lofi-lullaby,,
1,82,Hash-tag Snapotato,"[Snapchat/MLH] Best Use of SnapKit, Best Education Hack, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best Game/Entertainment Hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114898-hash-tag-snapotato,,
1,76,Ride Caring,"[Qualcomm/MLH] Best IoT Hack using a Qualcomm Device, [Uber] Best Hack that Acts on the Physical World, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114899-ride-caring,,
1,73,Uber Password Voice To Text,"Best Potato Hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114900-uber-password-voice-to-text,,
1,11,HackMatch,"Best Potato Hack, Most Aesthetic/Well-Designed Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114902-hackmatch,,
1,84,Giving Performances,"[eBay] Best Hack Using eBay APIs, [Uber] Best Hack that Acts on the Physical World, Best Education Hack, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack",https://hacktech2019.devpost.com/submissions/114903-giving-performances,,
1,24,T.A.G. - Tank Aiming Game,"[Uber] Best Hack that Acts on the Physical World, Best Hardware Hack, Most Aesthetic/Well-Designed Hack, Best Game/Entertainment Hack",https://hacktech2019.devpost.com/submissions/114904-t-a-g-tank-aiming-game,,
1,26,Distraction for Donation,"[eBay] Best Hack Using eBay APIs, [Uber] Best Hack that Acts on the Physical World, Most Aesthetic/Well-Designed Hack, Best Social Good Hack",https://hacktech2019.devpost.com/submissions/114905-distraction-for-donation,,
1,33,Topple,Best Game/Entertainment Hack,https://hacktech2019.devpost.com/submissions/114906-topple,,
